iMax B6 mini;Outlet A
Time [hh:mm:ss.SSS];Voltage [V];Current [A];Capacity [mAh];Temperature Ext [°C];Temperature Int [°C];BatteryRi [m?]
00:00:00.000;5.14;0.23;0;0.0;38.0;0.00
00:00:01.000;5.26;0.30;0;0.0;38.0;0.00
00:00:02.000;5.12;0.53;1028;7.0;-1.0;-1.00
00:00:03.000;5.26;0.30;0;0.0;38.0;0.00
00:00:04.000;5.26;0.30;0;0.0;38.0;0.00
00:00:05.000;5.12;0.53;1028;7.0;-1.0;-1.00
00:00:06.000;5.20;0.30;0;0.0;38.0;0.00
00:00:07.000;5.20;0.30;0;0.0;38.0;0.00
00:00:08.000;5.20;0.30;0;0.0;37.0;0.00
00:00:09.000;5.20;0.30;0;0.0;37.0;0.00
00:00:10.000;5.20;0.30;0;0.0;37.0;0.00
00:00:11.000;5.20;0.30;0;0.0;37.0;0.00
00:00:12.000;5.20;0.30;0;0.0;37.0;0.00
00:00:13.000;5.20;0.30;0;0.0;37.0;0.00
00:00:14.000;5.20;0.30;0;0.0;37.0;0.00
00:00:15.000;5.20;0.30;0;0.0;37.0;0.00
00:00:16.000;5.20;0.30;0;0.0;37.0;0.00
00:00:17.000;5.20;0.30;0;0.0;37.0;0.00
00:00:18.000;5.20;0.30;0;0.0;37.0;0.00
00:00:19.000;5.20;0.30;0;0.0;37.0;0.00
00:00:20.000;5.20;0.30;0;0.0;37.0;0.00
00:00:21.000;5.19;0.30;0;0.0;37.0;0.00
00:00:22.000;5.19;0.30;0;0.0;37.0;0.00
00:00:23.000;5.19;0.30;0;0.0;37.0;0.00
00:00:24.000;5.19;0.30;0;0.0;37.0;0.00
00:00:25.000;5.19;0.30;0;0.0;37.0;0.00
00:00:26.000;5.19;0.30;0;0.0;37.0;0.00
00:00:27.000;5.19;0.30;0;0.0;37.0;0.00
00:00:28.000;5.19;0.30;0;0.0;37.0;0.00
00:00:29.000;5.19;0.30;0;0.0;37.0;0.00
00:00:30.000;5.19;0.30;0;0.0;37.0;0.00
00:00:31.000;5.19;0.30;0;0.0;37.0;0.00
00:00:32.000;5.19;0.30;0;0.0;37.0;0.00
00:00:33.000;5.19;0.30;0;0.0;37.0;0.00
00:00:34.000;5.19;0.30;0;0.0;37.0;0.00
00:00:35.000;5.19;0.30;0;0.0;37.0;0.00
00:00:36.000;5.19;0.30;0;0.0;37.0;0.00
00:00:37.000;5.19;0.30;1;0.0;37.0;0.00
00:00:38.000;5.19;0.30;1;0.0;37.0;0.00
00:00:39.000;5.19;0.30;1;0.0;37.0;0.00
00:00:40.000;5.19;0.31;1;0.0;37.0;0.00
00:00:41.000;5.19;0.31;1;0.0;37.0;0.00
00:00:42.000;5.19;0.31;1;0.0;37.0;0.00
00:00:43.000;5.19;0.31;1;0.0;37.0;0.00
00:00:44.000;5.19;0.31;1;0.0;37.0;0.00
00:00:45.000;5.19;0.31;1;0.0;37.0;0.00
00:00:46.000;5.19;0.31;1;0.0;37.0;0.00
00:00:47.000;5.18;0.30;1;0.0;37.0;0.00
00:00:48.000;5.18;0.30;1;0.0;37.0;0.00
00:00:49.000;5.18;0.30;1;0.0;37.0;0.00
00:00:50.000;5.18;0.31;1;0.0;37.0;0.00
00:00:51.000;5.18;0.31;1;0.0;37.0;0.00
00:00:52.000;5.18;0.31;1;0.0;37.0;0.00
00:00:53.000;5.18;0.31;1;0.0;37.0;0.00
00:00:54.000;5.18;0.31;1;0.0;37.0;0.00
00:00:55.000;5.18;0.31;1;0.0;37.0;0.00
00:00:56.000;5.18;0.31;1;0.0;37.0;0.00
00:00:57.000;5.18;0.30;1;0.0;37.0;0.00
00:00:58.000;5.18;0.30;1;0.0;37.0;0.00
00:00:59.000;5.18;0.30;1;0.0;37.0;0.00
00:01:00.000;5.18;0.31;1;0.0;37.0;0.00
00:01:01.000;5.18;0.31;1;0.0;37.0;0.00
00:01:02.000;5.18;0.31;1;0.0;37.0;0.00
00:01:03.000;5.18;0.31;1;0.0;37.0;0.00
00:01:04.000;5.18;0.31;1;0.0;37.0;0.00
00:01:05.000;5.18;0.31;1;0.0;37.0;0.00
00:01:06.000;5.18;0.30;1;0.0;37.0;0.00
00:01:07.000;5.18;0.30;1;0.0;37.0;0.00
00:01:08.000;5.18;0.30;1;0.0;37.0;0.00
00:01:09.000;5.18;0.30;1;0.0;37.0;0.00
00:01:10.000;5.18;0.30;1;0.0;37.0;0.00
00:01:11.000;5.18;0.30;1;0.0;37.0;0.00
00:01:12.000;5.18;0.30;1;0.0;37.0;0.00
00:01:13.000;5.18;0.30;1;0.0;37.0;0.00
00:01:14.000;5.18;0.30;1;0.0;37.0;0.00
00:01:15.000;5.18;0.30;1;0.0;37.0;0.00
00:01:16.000;5.18;0.31;2;0.0;37.0;0.00
00:01:17.000;5.18;0.31;2;0.0;37.0;0.00
00:01:18.000;5.18;0.31;2;0.0;37.0;0.00
00:01:19.000;5.18;0.31;2;0.0;37.0;0.00
00:01:20.000;5.18;0.31;2;0.0;37.0;0.00
00:01:21.000;5.18;0.31;2;0.0;37.0;0.00
00:01:22.000;5.18;0.31;2;0.0;37.0;0.00
00:01:23.000;5.18;0.32;2;0.0;37.0;0.00
00:01:24.000;5.18;0.32;2;0.0;37.0;0.00
00:01:25.000;5.18;0.32;2;0.0;37.0;0.00
00:01:26.000;5.18;0.32;2;0.0;37.0;0.00
00:01:27.000;5.18;0.32;2;0.0;37.0;0.00
00:01:28.000;5.18;0.32;2;0.0;37.0;0.00
00:01:29.000;5.18;0.32;2;0.0;37.0;0.00
00:01:30.000;5.18;0.32;2;0.0;37.0;0.00
00:01:31.000;5.18;0.32;2;0.0;37.0;0.00
00:01:32.000;5.18;0.30;2;0.0;37.0;0.00
00:01:33.000;5.18;0.30;2;0.0;37.0;0.00
00:01:34.000;5.18;0.30;2;0.0;37.0;0.00
00:01:35.000;5.18;0.30;2;0.0;37.0;0.00
00:01:36.000;5.18;0.32;2;0.0;37.0;0.00
00:01:37.000;5.18;0.32;2;0.0;37.0;0.00
00:01:38.000;5.18;0.32;2;0.0;37.0;0.00
00:01:39.000;5.17;0.32;2;0.0;37.0;0.00
00:01:40.000;5.17;0.32;2;0.0;37.0;0.00
00:01:41.000;5.17;0.32;2;0.0;37.0;0.00
00:01:42.000;5.17;0.31;2;0.0;37.0;0.00
00:01:43.000;5.17;0.31;2;0.0;37.0;0.00
00:01:44.000;5.17;0.31;2;0.0;37.0;0.00
00:01:45.000;5.17;0.30;2;0.0;37.0;0.00
00:01:46.000;5.17;0.30;2;0.0;37.0;0.00
00:01:47.000;5.17;0.30;2;0.0;37.0;0.00
00:01:48.000;5.17;0.30;2;0.0;37.0;0.00
00:01:49.000;5.17;0.30;2;0.0;37.0;0.00
00:01:50.000;5.17;0.30;2;0.0;37.0;0.00
00:01:51.000;5.17;0.30;2;0.0;37.0;0.00
00:01:52.000;5.17;0.31;3;0.0;37.0;0.00
00:01:53.000;5.17;0.31;3;0.0;37.0;0.00
00:01:54.000;5.17;0.31;3;0.0;37.0;0.00
00:01:55.000;5.17;0.31;3;0.0;37.0;0.00
00:01:56.000;5.17;0.31;3;0.0;37.0;0.00
00:01:57.000;5.17;0.31;3;0.0;37.0;0.00
00:01:58.000;5.17;0.31;3;0.0;37.0;0.00
00:01:59.000;5.17;0.31;3;0.0;37.0;0.00
00:02:00.000;5.17;0.31;3;0.0;37.0;0.00
00:02:01.000;5.17;0.31;3;0.0;37.0;0.00
00:02:02.000;5.17;0.30;3;0.0;37.0;0.00
00:02:03.000;5.17;0.30;3;0.0;37.0;0.00
00:02:04.000;5.17;0.30;3;0.0;37.0;0.00
00:02:05.000;5.17;0.32;3;0.0;37.0;0.00
00:02:06.000;5.17;0.32;3;0.0;37.0;0.00
00:02:07.000;5.17;0.32;3;0.0;37.0;0.00
00:02:08.000;5.17;0.32;3;0.0;37.0;0.00
00:02:09.000;5.17;0.32;3;0.0;37.0;0.00
00:02:10.000;5.17;0.32;3;0.0;37.0;0.00
00:02:11.000;5.17;0.32;3;0.0;37.0;0.00
00:02:12.000;5.17;0.32;3;0.0;37.0;0.00
00:02:13.000;5.17;0.32;3;0.0;37.0;0.00
00:02:14.000;5.17;0.30;3;0.0;37.0;0.00
00:02:15.000;5.17;0.30;3;0.0;37.0;0.00
00:02:16.000;5.17;0.30;3;0.0;37.0;0.00
00:02:17.000;5.17;0.30;3;0.0;37.0;0.00
00:02:18.000;5.17;0.30;3;0.0;37.0;0.00
00:02:19.000;5.17;0.30;3;0.0;37.0;0.00
00:02:20.000;5.17;0.30;3;0.0;37.0;0.00
00:02:21.000;5.17;0.30;3;0.0;37.0;0.00
00:02:22.000;5.17;0.30;3;0.0;37.0;0.00
00:02:23.000;5.17;0.31;3;0.0;37.0;0.00
00:02:24.000;5.17;0.31;3;0.0;37.0;0.00
00:02:25.000;5.17;0.31;3;0.0;37.0;0.00
00:02:26.000;5.17;0.30;3;0.0;37.0;0.00
00:02:27.000;5.17;0.30;3;0.0;37.0;0.00
00:02:28.000;5.17;0.30;3;0.0;37.0;0.00
00:02:29.000;5.17;0.30;4;0.0;37.0;0.00
00:02:30.000;5.17;0.30;4;0.0;37.0;0.00
00:02:31.000;5.17;0.30;4;0.0;37.0;0.00
00:02:32.000;5.17;0.31;4;0.0;37.0;0.00
